School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1
,M,2,,0,CAP,M777,227 WEST 27TH STREET,Manhattan,,,,,,,,,,,
P.S. @ PARCEL F - QUEENS,Q,30,Demo,0,CAP,Q375,2ND STREET BETWEEN 56TH AND 57TH AVENUE,Queens,11101,,,,,,,,,,
P.S. 129 - QUEENS,Q,25,Addition,0,CAP,Q129,128-02 7TH AVENUE,Queens,11356,QUEENS,40.790638,-73.839771,7,19,945,4096774,4039760001,Whitestone,"(40.790638, -73.839771)"
P.S. @ PARCEL F - QUEENS,Q,30,New,0,CAP,Q375,2ND STREET BETWEEN 56TH AND 57TH AVENUE,Queens,11101,,,,,,,,,,
P.S. @ PARCEL F - QUEENS,Q,30,Demo,0,CAP,Q375,2ND STREET BETWEEN 56TH AND 57TH AVENUE,Queens,11101,,,,,,,,,,
NEW DORP HS - STATEN ISLAND,R,31,PARTIAL ACCESSIBILITY,488000,CIP,R435,465 NEW DORP LANE,Staten Island,10306,STATEN IS,40.569393,-74.107737,2,50,11202,5055367,5039300010,New Dorp-Midland Beach                                                     ,"(40.569393, -74.107737)"
P.S. 303 - QUEENS,Q,28,Demo,5183000,CAP,Q003,108-55 69TH AVENUE,Queens,11375,QUEENS   ,40.725098,-73.845091,6,29,739,4052265,4022180021,Forest Hills                                                               ,"(40.725098, -73.845091)"
P.S. 21 - BROOKLYN,K,16,LOW VOLTAGE ELECTRICAL SYSTEMS,1037000,CIP,K021,180 CHAUNCEY STREET,Brooklyn,11233,BROOKLYN ,40.680727,-73.926597,3,36,381,3047914,3016920017,Crown Heights North                                                        ,"(40.680727, -73.926597)"
K753 SPED - BROOKLYN,K,13,LOW VOLTAGE ELECTRICAL SYSTEM/ANSUL SYSTEM,706260,CIP,K085,510 CLERMONT AVENUE,Brooklyn,11238,BROOKLYN ,40.682533,-73.968769,2,35,179,3057521,3020080001,Fort Greene                                                                ,"(40.682533, -73.968769)"
ARCHER ELEMENTARY SCHOOL - BRO,X,12,FLOOD ELIMINATION/ROOFS,4100000,CIP,X102,1827 ARCHER STREET,Bronx,10460,BRONX    ,40.837631,-73.866036,9,18,21601,2028640,2039210030,West Farms-Bronx River                                                     ,"(40.837631, -73.866036)"
BKLYN STUDIO SEC. SCL - BROOKL,K,21,EXT MASONRY/ROOFS/WINDOWS,6137000,CIP,K721,8310 21ST AVE,Brooklyn,11214,BROOKLYN ,40.604879,-73.994404,11,47,288,3165232,3063290032,Bensonhurst West                                                           ,"(40.604879, -73.994404)"
P.S. 50 - BRONX,X,12,SWITCH GEAR REPLACEMENT,1560000,CIP,X050,1550 VYSE AVENUE,Bronx,10460,BRONX    ,40.834157,-73.887512,3,17,157,2010786,2029960010,Crotona Park East                                                          ,"(40.834157, -73.887512)"
